breakpoints,primitives,p_bp,q_bp
0,movej,"[array([ 1647.99938536, -1209.9995528 ,  -231.00073217])]","[array([-0.6198374 ,  0.98747252,  0.70567253,  0.07819956, -0.91126937,
       -0.20167904])]"
0,movec_fit,"[array([ 1648.52295883, -1210.00412282,  -230.0007317 ]), array([ 1647.47586794, -1269.99499681,  -229.50211007])]","[array([-0.61967757,  0.98815894,  0.7076699 ,  0.07819445, -0.91258831,
       -0.20174313]), array([-0.64550929,  1.06654822,  0.83297741,  0.06391084, -0.95761703,
       -0.1666337 ])]"
359,movec_fit,"[array([ 1648.52295964, -1210.00412329,  -229.00073142]), array([ 1647.4758687 , -1269.99499731,  -228.50210979])]","[array([-0.61967757,  0.98795564,  0.70826194,  0.07814647, -0.91338122,
       -0.20166464]), array([-0.64550929,  1.06642243,  0.83368542,  0.06387341, -0.95844913,
       -0.16656862])]"
719,movec_fit,"[array([ 1648.52296044, -1210.00412375,  -228.00073115]), array([ 1647.47586947, -1269.9949978 ,  -227.50210952])]","[array([-0.61967757,  0.98775386,  0.70885632,  0.07809854, -0.91417495,
       -0.20158617]), array([-0.64550929,  1.06629857,  0.83439652,  0.06383602, -0.95928238,
       -0.16650353])]"
1079,movec_fit,"[array([ 1648.52296124, -1210.00412422,  -227.00073087]), array([ 1647.47587023, -1269.99499829,  -226.50210924])]","[array([-0.61967757,  0.98755358,  0.70945305,  0.07805067, -0.91496952,
       -0.20150771]), array([-0.64550929,  1.06617666,  0.83511071,  0.06379867, -0.96011678,
       -0.16643843])]"
1439,movec_fit,"[array([ 1648.52296205, -1210.00412468,  -226.00073059]), array([ 1647.475871  , -1269.99499879,  -225.50210897])]","[array([-0.61967757,  0.98735482,  0.71005212,  0.07800286, -0.91576492,
       -0.20142927]), array([-0.64550929,  1.06605671,  0.83582801,  0.06376135, -0.96095233,
       -0.16637331])]"
1799,movec_fit,"[array([ 1648.52296285, -1210.00412515,  -225.00073031]), array([ 1647.47587177, -1269.99499928,  -224.50210869])]","[array([-0.61967757,  0.98715758,  0.71065355,  0.07795511, -0.91656116,
       -0.20135084]), array([-0.64550929,  1.06593871,  0.83654843,  0.06372407, -0.96178904,
       -0.16630818])]"
2159,movec_fit,"[array([ 1648.52296365, -1210.00412562,  -224.00073004]), array([ 1647.47587253, -1269.99499978,  -223.50210841])]","[array([-0.61967757,  0.98696187,  0.71125733,  0.07790741, -0.91735823,
       -0.20127242]), array([-0.64550929,  1.06582268,  0.83727197,  0.06368682, -0.96262691,
       -0.16624303])]"
2519,movec_fit,"[array([ 1648.52296445, -1210.00412608,  -223.00072976]), array([ 1647.4758733 , -1269.99500027,  -222.50210814])]","[array([-0.61967757,  0.98676768,  0.71186348,  0.07785977, -0.91815615,
       -0.20119402]), array([-0.64550929,  1.06570863,  0.83799866,  0.06364961, -0.96346594,
       -0.16617787])]"
2879,movec_fit,"[array([ 1648.52296525, -1210.00412655,  -222.00072948]), array([ 1647.47587406, -1269.99500077,  -221.50210786])]","[array([-0.61967757,  0.98657502,  0.712472  ,  0.07781219, -0.9189549 ,
       -0.20111563]), array([-0.64550929,  1.06559656,  0.8387285 ,  0.06361244, -0.96430615,
       -0.1661127 ])]"
3239,movec_fit,"[array([ 1648.52296606, -1210.00412702,  -221.0007292 ]), array([ 1647.47587483, -1269.99500127,  -220.50210759])]","[array([-0.61967757,  0.98638389,  0.7130829 ,  0.07776467, -0.91975449,
       -0.20103725]), array([-0.64550929,  1.06548648,  0.83946151,  0.06357531, -0.96514753,
       -0.16604751])]"
3599,movec_fit,"[array([ 1648.52296686, -1210.00412748,  -220.00072893]), array([ 1647.4758756 , -1269.99500176,  -219.50210731])]","[array([-0.61967757,  0.9861943 ,  0.71369618,  0.07771721, -0.92055494,
       -0.20095889]), array([-0.64550929,  1.06537839,  0.84019769,  0.06353821, -0.96599009,
       -0.1659823 ])]"
3959,movec_fit,"[array([ 1648.52296766, -1210.00412795,  -219.00072865]), array([ 1647.47587636, -1269.99500226,  -218.50210703])]","[array([-0.61967757,  0.98600626,  0.71431184,  0.0776698 , -0.92135622,
       -0.20088054]), array([-0.64550929,  1.0652723 ,  0.84093706,  0.06350115, -0.96683384,
       -0.16591708])]"
4319,movec_fit,"[array([ 1648.52296846, -1210.00412842,  -218.00072837]), array([ 1647.47587713, -1269.99500276,  -217.50210676])]","[array([-0.61967757,  0.98581975,  0.7149299 ,  0.07762245, -0.92215836,
       -0.2008022 ]), array([-0.64550929,  1.06516823,  0.84167963,  0.06346412, -0.96767878,
       -0.16585185])]"
4679,movec_fit,"[array([ 1648.52296926, -1210.00412888,  -217.00072809]), array([ 1647.47587789, -1269.99500325,  -216.50210648])]","[array([-0.61967757,  0.9856348 ,  0.71555036,  0.07757516, -0.92296135,
       -0.20072388]), array([-0.64550929,  1.06506617,  0.84242541,  0.06342713, -0.96852491,
       -0.16578659])]"
5039,movec_fit,"[array([ 1648.52297006, -1210.00412935,  -216.00072782]), array([ 1647.47587866, -1269.99500375,  -215.5021062 ])]","[array([-0.61967757,  0.9854514 ,  0.71617323,  0.07752793, -0.92376519,
       -0.20064557]), array([-0.64550929,  1.06496614,  0.84317442,  0.06339018, -0.96937224,
       -0.16572133])]"
5399,movec_fit,"[array([ 1648.52297086, -1210.00412982,  -215.00072754]), array([ 1647.47587943, -1269.99500425,  -214.50210593])]","[array([-0.61967757,  0.98526955,  0.7167985 ,  0.07748075, -0.92456989,
       -0.20056727]), array([-0.64550929,  1.06486814,  0.84392666,  0.06335326, -0.97022077,
       -0.16565604])]"
5759,movec_fit,"[array([ 1648.52297166, -1210.00413028,  -214.00072726]), array([ 1647.47588019, -1269.99500474,  -213.50210565])]","[array([-0.61967757,  0.98508926,  0.7174262 ,  0.07743363, -0.92537545,
       -0.20048898]), array([-0.64550929,  1.06477219,  0.84468215,  0.06331638, -0.97107051,
       -0.16559074])]"
